mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid,WKT
740,2,20700,11381761,-1.2343966,-78.6259497,-76,1.67995E+12,3.8,2.7712364,219.19841,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2344937,-78.6259194,-83,1.67995E+12,3.7,2.3736012,153.32141,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2345764,-78.6258408,-83,1.67995E+12,3.7,2.4372306,145.11397,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2346679,-78.6257684,-89,1.67995E+12,3.7,2.4843354,145.46953,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2347734,-78.6256959,-78,1.67995E+12,3.8,1.4300016,139.16743,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2349344,-78.6255792,-85,1.67995E+12,3.8,2.1106145,143.88107,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2350477,-78.6255006,-88,1.67995E+12,3.7,2.5071783,145.20761,LTE,0,,20700,42,,,,
740,2,20700,11381762,-1.2351355,-78.625439,-76,1.67995E+12,3.7,2.5088131,143.69795,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2352223,-78.6253521,-83,1.67995E+12,3.7,1.8422757,138.7886,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.235354,-78.6253239,-85,1.67995E+12,4,1.2814473,157.86942,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.235468,-78.6252223,-86,1.67995E+12,5.1,1.3230386,143.70232,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2355378,-78.6251645,-90,1.67995E+12,5.3,1.0302846,148.16504,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2356454,-78.6250886,-89,1.67995E+12,5.6,1.2238082,144.07263,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2357625,-78.6250207,-92,1.67995E+12,5.7,1.3109136,143.68187,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2358461,-78.624955,-97,1.67995E+12,5.6,1.1693623,143.19937,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2359302,-78.6248667,-95,1.67995E+12,5.4,1.2628775,139.64705,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2360203,-78.6247879,-98,1.67995E+12,6.1,1.3406218,135.76619,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2361274,-78.6247204,-98,1.67995E+12,6.6,1.4291381,139.2669,LTE,0,,20700,43,,,,
740,2,20700,11379459,-1.2362093,-78.6246694,-103,1.67995E+12,6.7,1.200961,142.5361,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2363556,-78.6245504,-98,1.67995E+12,5.1,1.9829844,137.91235,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2364454,-78.6244781,-96,1.67995E+12,3.8,2.2882397,146.2507,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2365316,-78.624413,-96,1.67995E+12,3.7,2.3866255,144.0592,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.236615,-78.624344,-96,1.67995E+12,3.7,2.4132235,143.57646,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2366836,-78.6242418,-95,1.67995E+12,3.8,1.1805114,154.59392,LTE,0,,20700,50,,,,
740,2,20700,11386115,-1.2367083,-78.6242325,-101,1.67995E+12,3.1,0.6473078,157.96393,LTE,0,,20700,47,,,,
740,2,20700,11379459,-1.2367646,-78.6242123,-90,1.67995E+12,3.3,1.2584826,152.77087,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2369449,-78.6240814,-88,1.67995E+12,3.9,2.4882476,146.67058,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2370409,-78.6239959,-88,1.67995E+12,3.7,2.648506,141.52216,LTE,0,,20700,50,,,,
